10
1000 650 75 8
1000 850 75 8
1000 350 75 8
1000 150 75 8
725 500 75 8
1275 500 75 8
525 500 75 8
1475 500 75 8
725 250 50 8
1275 750 50 8
5
1100 500
1200 900
1400 50
1500 200
1400 900
34
1000 675 40 8 
1000 350 30 8
1000 410 30 7
1000 465 35 6
1000 540 40 8
1000 615 35 7
333 675 40 8 
333 350 30 8
333 410 30 7
333 465 35 6
333 540 40 8
333 615 35 7
1667 675 40 8 
1667 350 30 8
1667 410 30 7
1667 465 35 6
1667 540 40 8
1667 615 35 7
667 180 30 6
667 245 35 7
667 310 30 8
667 375 35 6
1337 180 30 6
1337 245 35 7
1337 310 30 8
1337 375 35 6
667 615 35 8
667 680 30 6
667 740 35 7
667 805 30 8
1337 615 35 8
1337 680 30 6
1337 740 35 7
1337 805 30 8
5
1800 100
1800 300
1800 500
1800 700
1800 900
9
1000 500 150 8
1000 925 50 8
1000 75 50 8
1525 500 50 8
475 500 50 8
1329 829 50 8
671 829 50 8
1329 171 50 8
671 171 50 8
5
1100 500
1200 900
1400 50
1500 200
1400 900
9
400 150 75 8 
1000 150 75 8
1600 150 75 8 
400 500 75 8 
1000 500 75 8
1600 500 75 8
400 825 75 8 
1000 825 75 8
1600 825 75 8 
5
1800 100
1800 300
1800 500
1800 700
1800 900
39
300 250 50 6
400 250 50 6
500 250 50 6
600 250 50 6
700 250 50 6
800 250 50 6
900 250 50 6
1000 250 50 6
1100 250 50 6
1200 250 50 6
1300 250 50 6
1400 250 50 6
1500 250 50 6
1600 250 50 6
1700 250 50 6
300 750 50 6
400 750 50 6
500 750 50 6
600 750 50 6
700 750 50 6
800 750 50 6
900 750 50 6
1000 750 50 6
1100 750 50 6
1200 750 50 6
1300 750 50 6
1400 750 50 6
1500 750 50 6
1600 750 50 6
1700 750 50 6
600 500 50 6
700 500 50 6
800 500 50 6
900 500 50 6
1000 500 50 6
1100 500 50 6
1200 500 50 6
1300 500 50 6
1400 500 50 6
5
1800 100
1800 300
1800 500
1800 700
1800 900
