39
300 250 50 6
400 250 50 6
500 250 50 6
600 250 50 6
700 250 50 6
800 250 50 6
900 250 50 6
1000 250 50 6
1100 250 50 6
1200 250 50 6
1300 250 50 6
1400 250 50 6
1500 250 50 6
1600 250 50 6
1700 250 50 6
300 750 50 6
400 750 50 6
500 750 50 6
600 750 50 6
700 750 50 6
800 750 50 6
900 750 50 6
1000 750 50 6
1100 750 50 6
1200 750 50 6
1300 750 50 6
1400 750 50 6
1500 750 50 6
1600 750 50 6
1700 750 50 6
600 500 50 6
700 500 50 6
800 500 50 6
900 500 50 6
1000 500 50 6
1100 500 50 6
1200 500 50 6
1300 500 50 6
1400 500 50 6
